Station_Name,Station,Start_Lat,Start_Lon,2021_q2_count,2021_q3_count,2021_q4_count,2022_q1_count,total_count
Magnolia & Clybourn,4597,34.165218,-118.355148,0,0,0,22,22
North Hollywood Plaza,4598,34.16552,-118.375153,0,0,0,9,9
Chandler & Cahuenga,4599,34.168751,-118.36187,0,0,0,34,34
Lankershim & Califa,4600,34.17765,-118.382309,0,0,0,19,19
Lankershim & Hesby,4601,34.161709,-118.372818,0,0,0,27,27
Magnolia & Cartwright,4602,34.164951,-118.363632,0,0,0,24,24
Riverside & Cahuenga,4603,34.152142,-118.361954,0,0,0,14,14
Lankershim & Vineland,4604,34.158321,-118.370811,0,0,0,11,11
Mariota & Riverside,4605,34.152,-118.350601,0,0,0,17,17
North Hollywood Station,4606,34.168629,-118.377068,0,0,0,60,60
Gateway Plaza,4613,34.069752,-118.445351,0,0,0,64,64
Perloff Hall,4614,34.07365,-118.439842,0,0,0,48,48
